Participant, Adaptor, Proportion, DV, IV, BaseSize, Setting, RT
1,baseline,0.71,SF,SF,8,4.8064,4.1692
1,baseline,0.71,SF,SF,8,3.2975,5.056
1,baseline,0.71,SF,SF,8,3.5855,3.684
1,baseline,0.71,SF,SF,8,2.9083,8.5551
1,baseline,1,SF,SF,8,4.4203,1.8771
1,baseline,1,SF,SF,8,4.6093,1.2521
1,baseline,1,SF,SF,8,8.2829,7.3265
1,baseline,1,SF,SF,8,5.9255,1.0821
1,baseline,1.41,SF,SF,8,2.789,5.2093
1,baseline,1.41,SF,SF,8,4.2391,2.6287
1,baseline,1.41,SF,SF,8,8.2829,8.5591
1,baseline,1.41,SF,SF,8,4.0653,2.3189
1,baseline,2,SF,SF,8,7.9433,7.076
1,baseline,2,SF,SF,8,5.6826,4.3018
1,baseline,2,SF,SF,8,6.443,0.99144
1,baseline,2,SF,SF,8,6.443,3.4002
1,baseline,4,SF,SF,8,17.5976,3.3107
1,baseline,4,SF,SF,8,23.59,1.3378
1,baseline,4,SF,SF,8,10.2115,4.8676
1,baseline,4,SF,SF,8,31.6228,1.1758
1,parallel,0.25,size,size,4,1.0625,2.7249
1,parallel,0.25,size,size,4,1.3125,2.6624
1,parallel,0.25,size,size,4,1.125,2.8373
1,parallel,0.25,size,size,4,1.5625,4.6618
1,parallel,0.5,size,size,4,2,3.3122
1,parallel,0.5,size,size,4,2.1875,2.3875
1,parallel,0.5,size,size,4,2.25,3.8246
1,parallel,0.5,size,size,4,2.5625,2.9248
1,parallel,0.71,size,size,4,2.75,3.4496
1,parallel,0.71,size,size,4,3.6875,2.5499
1,parallel,0.71,size,size,4,2.875,3.5996
1,parallel,0.71,size,size,4,2.5625,3.7885
1,parallel,1,size,size,4,3.875,3.0998
1,parallel,1,size,size,4,5.0625,4.9368
1,parallel,1,size,size,4,5.125,2.55
1,parallel,1,size,size,4,5,3.5121
1,parallel,1.41,size,size,4,7.125,4.7008
1,parallel,1.41,size,size,4,6.8125,2.0875
1,parallel,1.41,size,size,4,7.25,3.2997
1,parallel,1.41,size,size,4,7.6875,2.275
1,parallel,2,size,size,4,10.125,3.4872
1,parallel,2,size,size,4,11.5,4.9993
1,parallel,2,size,size,4,6.9375,6.5488
1,parallel,2,size,size,4,11.25,4.3244
1,parallel,4,size,size,4,19.25,2.5374
1,parallel,4,size,size,4,17.875,1.8001
1,parallel,4,size,size,4,17.625,1.7002
1,parallel,4,size,size,4,16.625,1.6002
1,parallel,0.25,size,size,4,1.3125,4.1388
1,parallel,0.25,size,size,4,1.125,5.4866
1,parallel,0.25,size,size,4,1.8125,3.5746
1,parallel,0.25,size,size,4,1.0625,4.2494
1,parallel,0.5,size,size,4,2.3125,2.6374
1,parallel,0.5,size,size,4,2.125,3.1498
1,parallel,0.5,size,size,4,2.1875,2.6874
1,parallel,0.5,size,size,4,2.0625,2.1625
1,parallel,0.71,size,size,4,3.375,2.0251
1,parallel,0.71,size,size,4,3.5625,5.1492
1,parallel,0.71,size,size,4,2.3125,1.7502
1,parallel,0.71,size,size,4,3.625,3.5747
1,parallel,1,size,size,4,4.875,2.4749
1,parallel,1,size,size,4,5.375,2.4999
1,parallel,1,size,size,4,5,4.8743
1,parallel,1,size,size,4,4.75,3.0625
1,parallel,1.41,size,size,4,7.375,3.3622
1,parallel,1.41,size,size,4,6.8125,3.9743
1,parallel,1.41,size,size,4,7.5625,3.2247
1,parallel,1.41,size,size,4,6.25,3.5496
1,parallel,2,size,size,4,10.5,2.5124
1,parallel,2,size,size,4,12.8125,3.7121
1,parallel,2,size,size,4,9.5,4.9993
1,parallel,2,size,size,4,8.8125,2.8748
1,parallel,4,size,size,4,19.0625,1.4752
1,parallel,4,size,size,4,17.25,1.5502
1,parallel,4,size,size,4,17.3125,1.7251
1,parallel,4,size,size,4,18.5,2.9873
1,parallel,0.25,size,size,8,2.1875,2.6873
1,parallel,0.25,size,size,8,2.1875,1.2378
1,parallel,0.25,size,size,8,2.875,2.4749
1,parallel,0.25,size,size,8,1.875,1.8626
1,parallel,0.5,size,size,8,5,3.3247
1,parallel,0.5,size,size,8,3.9375,2.25
1,parallel,0.5,size,size,8,5.5,0.90039
1,parallel,0.5,size,size,8,4.1875,1.0255
1,parallel,0.71,size,size,8,6.5625,4.7993
1,parallel,0.71,size,size,8,7.3125,2.6749
1,parallel,0.71,size,size,8,6.6875,1.7126
1,parallel,0.71,size,size,8,6.6875,1.6252
1,parallel,1,size,size,8,9.875,4.012
1,parallel,1,size,size,8,11,2.175
1,parallel,1,size,size,8,12.375,1.3878
1,parallel,1,size,size,8,11.75,1.4502
1,parallel,1.41,size,size,8,12.3125,2.5885
1,parallel,1.41,size,size,8,15,2.175
1,parallel,1.41,size,size,8,17.8125,2.5999
1,parallel,1.41,size,size,8,15.875,2.6374
1,parallel,2,size,size,8,25.5625,2.9373
1,parallel,2,size,size,8,17.125,3.1497
1,parallel,2,size,size,8,18.1875,3.688
1,parallel,2,size,size,8,23.4375,1.9126
1,parallel,4,size,size,8,33.875,1.6265
1,parallel,4,size,size,8,38.375,2.8123
1,parallel,4,size,size,8,34.1875,2.275
1,parallel,4,size,size,8,34.9375,1.9251
1,parallel,0.25,size,size,8,2.625,1.7626
1,parallel,0.25,size,size,8,3.3125,1.8126
1,parallel,0.25,size,size,8,2.0625,0.72544
1,parallel,0.25,size,size,8,2.6875,1.1878
1,parallel,0.5,size,size,8,4.6875,1.7877
1,parallel,0.5,size,size,8,4.4375,2.3249
1,parallel,0.5,size,size,8,4.875,2.4125
1,parallel,0.5,size,size,8,3.875,0.80039
