Participant, Proportion, BaseSize, Setting, RT
7,2,8,7.3053,1.7951
7,4,8,8.2829,1.917
7,4,8,7.0057,3.879
7,4,8,6.7185,2.8171
7,4,8,7.0057,3.6121
7,0.25,8,0.50119,7.2537
7,0.25,8,1.7598,3.0704
7,0.25,8,2.565,1.819
7,0.25,8,2.2623,3.3307
7,0.5,8,6.443,2.4855
7,0.5,8,4.6093,3.5654
7,0.5,8,4.6093,5.3729
7,0.5,8,3.0326,1.7375
7,0.71,8,6.443,3.3327
7,0.71,8,8.637,2.2094
7,0.71,8,2.4599,4.709
7,0.71,8,3.0326,2.3926
7,1,8,4.0653,1.9173
7,1,8,6.443,3.1005
7,1,8,4.8064,2.3511
7,1,8,4.4203,4.6181
7,1.41,8,4.6093,1.5261
7,1.41,8,7.3053,2.2076
7,1.41,8,5.4496,5.2272
7,1.41,8,13.6887,1.7738
7,2,8,7.9433,2.5512
7,2,8,5.9255,3.9928
7,2,8,5.4496,5.4286
7,2,8,7.3053,1.7951
7,4,8,8.2829,1.917
7,4,8,7.0057,3.879
7,4,8,6.7185,2.8171
7,4,8,7.0057,3.6121
8,0.25,4,4.2391,5.0653
8,0.25,4,4.0653,6.8933
8,0.25,4,4.4203,6.7148
8,0.25,4,4.4203,7.6676
8,0.5,4,4.0653,8.6478
8,0.5,4,3.8986,7.984
8,0.5,4,3.8986,7.2779
8,0.5,4,2.0806,9.874
8,0.71,4,4.4203,2.8197
8,0.71,4,4.2391,4.8465
8,0.71,4,3.7388,5.1033
8,0.71,4,4.4203,5.0334
8,1,4,4.8064,4.1685
8,1,4,4.0653,4.2932
8,1,4,3.7388,5.7043
8,1,4,4.0653,2.5283
8,1.41,4,3.5855,6.2835
8,1.41,4,3.4385,5.3568
8,1.41,4,4.4203,3.8052
8,1.41,4,4.6093,6.4889
8,2,4,3.5855,11.0342
8,2,4,4.4203,6.8395
8,2,4,3.7388,5.9124
8,2,4,4.2391,4.2414
8,4,4,4.4203,5.749
8,4,4,4.2391,4.9773
8,4,4,3.7388,6.2296
8,4,4,4.0653,7.5506
8,0.25,4,4.0653,5.6973
8,0.25,4,3.1623,2.2023
8,0.25,4,1.835,3.4098
8,0.25,4,4.2391,2.3174
8,0.5,4,4.0653,4.1927
8,0.5,4,3.1623,3.5185
